index	Transcript	AASW	AASV	AAPN	AAAR	AA7I	AA7D	AA7B	AA4G	AA4D	A9VB	A9GR	A9GQ	A9GO	A9GN	A9GM	A9GL	A9GK	A9GJ	A9GI	A9GH	A9GG	A9GF	A9FR	A9FQ	A9FP	A9FO	A9CJ	A97I	A97H	A93F	A93E	A93D	A93C	A939	A938	A8WG	A8WC	A8W8	A8W5	A8T8	A8T6	A8Q7	A8O2	A8NW	A8NV	A8NU	A8NT	A8NS	A8NR	A8NQ	A8NN	A8NM	A8NL	A8NK	A8NJ	A8NI	A8NH	A8NG	A8NF	A8NE	A8JE	A8JD	A8I1	A8I0	A8HZ	A8EZ	A8EY	A8EX	A8EW	A8EU	A8ET	A8ER	A8EQ	A8EP	A8EO	A893	A891	A88Z	A88Y	A88W	A88V	A88T	A88S	A7RB	A7HZ	A7HY	A7HX	A7HW	A7HV	A7DP	A7BO	A6Y2	A6Y0	A6XQ	A6XG	A6WC	A6VZ	A6QS	A6L6	A6L4	A6KZ	A6FW	A6FU	A6FH	A6FG	A6FE	A6FD	A6FB	A6FA	A6F8	A6DQ	A6DN	A6BW	A6BV	A625	A5U7	A5U6	A5U5	A5S3	A5M8	A5B8	A56G	A51D	A50L	A4QT	A4QS	A4P3	A4OX	A4OW	A4OU	A4OT	A4OS	A4OP	A4ON	A4OI	A4OH	A4OE	A4MR	A4MQ	A4A9	A4A8	A4A6	A4A5	A4A4	A4A3	A4A2	A4A1	A49Y	A49X	A49W	A49V	A49U	A49S	A49R	A49P	A49O	A49N	A49M	A49L	A49K	A43M	A43J	A43I	A43H	A43E	A3YC	A3YB	A3YA	A3Y9	A3QL	AASX	A7RE	A7RC	A6RF	A6RE	A4OR	A4OQ	A4OO	A4OM	A4OJ	A4OG	A4OF	A43C	A3I8
S100A10	S100A10-002	816.047	400.185	2404.8	1219.48	957.909	1173.79	651.138	1631.53	1627.78	413.338	577.901	662.9060000000001	806.498	538.7040000000001	1609.95	361.34	471.026	1331.46	592.862	726.953	481.61300000000006	507.425	1273.41	752.694	453.80199999999996	317.377	2378.94	1382.17	3272.28	1852.67	759.3860000000001	875.211	404.202	189.365	1582.87	715.703	406.86699999999996	801.69	654.615	1403.37	706.418	511.99300000000005	118.006	944.57	719.485	198.94799999999998	821.2339999999999	808.6410000000001	1058.92	1716.78	1404.66	1519.25	975.683	1493.45	4187.96	485.68	914.2	665.0160000000001	385.834	364.379	983.209	1466.52	562.986	2299.59	694.796	344.86	1040.43	1197.88	1018.18	2283.26	1075.87	382.986	358.949	644.485	88.8437	1453.53	472.86400000000003	876.955	825.557	1903.6	1350.51	1310.73	1236.5	417.816	208.525	252.04	1271.22	948.3710000000001	1187.62	403.504	824.8539999999999	335.339	1869.36	1247.7	756.477	1576.31	588.945	1695.58	1095.44	1410.82	3031.77	1457.32	794.645	1453.45	1330.78	2284.22	1327.54	1021.35	849.052	182.329	596.168	1281.63	513.511	1826.56	416.532	939.55	1676.54	793.1260000000001	318.32599999999996	1124.48	2983.67	965.916	934.8760000000001	1799.34	110.35700000000001	981.607	437.07099999999997	1373.94	861.063	585.622	345.861	335.86199999999997	1238.88	1102.12	2189.67	1464.27	1683.01	1875.95	565.446	1441.24	238.203	987.482	570.172	705.818	1293.54	1893.78	2694.19	582.904	1074.22	294.118	102.37	1236.22	445.824	968.535	577.406	818.135	864.2289999999999	1429.71	121.111	495.954	177.05900000000003	1360.45	790.433	912.823	878.323	818.7760000000001	137.016	479.43800000000005	1697.76	672.2339999999999	769.1795	1572.1965	390.5205	1561.405	1897.465	201.4189	898.551	312.9065	411.245	564.3235	408.91925	993.0735	275.9257	422.318
S100A10	S100A10-001	95.912	58.9259	103.635	75.2923	111.095	39.1164	89.2735	68.7056	73.7366	53.2601	65.4612	82.2204	41.8754	67.0623	163.27700000000002	37.2963	43.5752	129.671	57.9145	88.7334	18.5826	92.7087	37.8762	90.20200000000001	41.5309	32.4549	90.2008	131.566	131.799	197.47099999999998	68.8004	27.0265	23.9777	18.2936	59.0657	91.5589	57.6461	37.4248	36.7829	196.775	122.68799999999999	24.1226	17.153	31.4819	65.3677	21.3477	83.3076	80.2262	136.458	211.25099999999998	59.255	158.621	70.8166	49.0558	161.059	64.8779	44.1703	63.24	42.1424	49.1528	99.7714	182.324	71.1814	260.329	42.1675	45.5453	158.975	123.09899999999999	137.135	251.292	47.6714	55.6363	52.2889	64.851	5.72194	127.427	96.6959	117.691	111.58200000000001	50.8642	34.6949	142.836	43.9142	60.7965	12.3744	33.3219	164.84099999999998	169.26	202.333	42.0521	113.913	56.33	289.733	50.7427	115.07700000000001	206.035	41.4691	243.08700000000002	125.78299999999999	133.233	298.483	150.711	124.963	296.04200000000003	205.05599999999998	284.138	198.22799999999998	177.63400000000001	60.458999999999996	32.5094	58.1199	82.3263	91.088	170.605	62.5978	186.85	190.49900000000002	104.244	30.6631	34.3006	298.28700000000003	84.5271	133.714	57.0379	12.2923	113.738	49.6771	186.437	92.0801	64.2295	43.0579	30.9652	117.805	70.1491	147.82399999999998	144.134	149.309	177.75400000000002	70.5082	119.24	29.6864	109.71700000000001	81.4974	73.2781	119.3	59.651	208.111	70.3321	124.12200000000001	26.5683	17.1878	224.153	50.0312	96.6002	39.6169	103.569	33.1522	137.006	17.3249	32.6843	20.5984	184.40599999999998	95.1507	117.939	85.5846	40.4202	33.0939	53.6412	90.0339	112.365	73.6897	221.83235	49.4987	157.7167	228.764	24.835505	73.2594	34.778495	34.8691	56.39891	47.652025	78.26475	27.23478	46.15365
S100A10	S100A10-004	160.441	43.7207	208.86700000000002	23.1801	105.29799999999999	193.983	155.408	85.9884	65.4878	51.8083	69.1039	19.6193	34.7674	74.9253	174.139	23.7028	71.5731	254.523	33.2181	49.3991	19.8623	92.2396	144.545	97.691	55.2376	37.2106	170.43599999999998	200.843	95.4316	107.92299999999999	110.15	52.1209	48.3953	16.9994	46.7908	91.6745	65.8846	91.9055	73.6956	216.981	135.363	23.5193	12.4828	89.9898	90.0605	11.9939	83.1214	85.3521	119.476	229.73	160.195	211.327	98.2605	144.825	458.184	23.6212	92.6016	82.9122	37.8958	36.2262	79.8725	364.621	27.7495	255.99200000000002	84.8786	19.3861	176.585	181.357	107.21	376.59	130.901	27.2141	38.6615	112.99	7.087839999999999	248.019	25.6713	169.345	108.47399999999999	333.225	195.54	285.868	93.8831	53.4777	21.9811	32.7244	241.144	135.482	76.0451	28.028000000000002	66.9698	26.0886	277.508	100.43700000000001	49.4279	340.85900000000004	84.0466	219.90200000000002	85.1431	166.459	378.39599999999996	185.016	80.8235	213.035	95.4025	197.804	365.24	179.89700000000002	114.178	12.1065	76.1605	80.1247	72.699	212.0	40.3912	110.105	262.48	87.1338	35.6535	114.21700000000001	230.958	118.23700000000001	151.083	166.537	7.6864300000000005	51.3734	56.7179	146.72899999999998	85.4319	45.387	37.1002	17.5182	152.687	80.6056	166.333	214.114	245.614	182.893	61.9442	103.249	25.0123	133.446	64.8993	84.1756	163.44299999999998	197.78400000000002	460.967	24.6016	133.299	32.599000000000004	3.5032099999999997	99.1719	63.5524	45.5968	27.6246	136.707	82.6937	182.695	8.62459	31.7125	19.6127	150.173	106.846	80.9114	100.20200000000001	24.5746	17.2852	21.4867	126.43	23.2116	69.8739	202.17395	58.73155	226.315	262.9665	18.4529	132.4224	29.49815	42.9747	76.04184	49.15295	166.6591	26.392325	48.07735
S100A10	S100A10-003	24.461	11.6848	35.4268	79.212	22.9496	30.3288	14.8268	101.42	30.168000000000003	10.4409	19.0342	7.88048	14.015	16.3368	41.79600000000001	5.11524	13.3458	104.915	10.0002	24.0719	19.6355	11.4707	11.0571	18.8112	7.13807	7.9057699999999995	11.413	34.1687	153.089	14.209000000000001	16.589000000000002	48.6705	23.6247	4.22241	143.681	30.8765	16.0146	43.9654	34.1473	31.0493	18.174	20.4457	2.3879200000000003	44.2776	32.8307	4.84742	25.877	34.9202	29.5988	31.2973	25.2589	34.3556	15.0325	23.2145	207.38400000000001	1.61937	57.9747	38.2428	11.3102	6.616510000000001	21.1705	30.6332	11.6466	24.4418	5.0337	4.0092	5.11453	16.1167	5.34112	66.9092	14.5976	5.01106	3.08546	23.7137	1.53665	62.0122	6.48533	30.6019	16.7823	16.4431	41.5498	31.4245	8.0841	8.08558	0.0	0.0	18.1714	19.8323	26.4152	16.2265	13.1651	7.33178	57.9913	13.9663	10.5152	56.1596	19.5409	19.4208	2.31155	24.8192	81.2183	18.1974	8.179219999999999	32.3083	9.741719999999999	14.3373	17.9091	27.1886	9.88476	0.534817	12.6209	9.21134	7.848	74.5273	9.10949	22.7316	8.760069999999999	9.35962	14.2576	11.4863	36.1331	32.1025	11.8356	3.23096	2.28271	16.647000000000002	8.44093	47.9873	11.3769	10.0412	4.80815	8.71332	46.5709	52.8085	55.5326	71.8552	39.7479	34.0873	21.732	37.2034	4.0643199999999995	9.10217	13.2514	6.84399	14.4851	18.4779	25.377	5.196619999999999	30.4937	1.88599	1.76778	30.4571	10.6895	9.49012	20.5061	4.91972	26.5334	54.5943	2.26673	15.5262	10.6211	5.8156099999999995	30.2061	15.181	25.2297	34.7881	2.29068	9.41814	17.6317	3.6425	52.442265	41.32505	8.86834	76.4119	24.5355	4.6175875	44.1516	9.810275	19.2997	6.505055	10.56397	46.296695	8.462871	11.340125
S100A11	S100A11-001	1376.01	1635.69	7364.16	2552.09	2696.09	2225.47	2727.81	2851.06	1461.61	2227.73	1293.15	1141.98	1123.69	1286.35	1073.45	604.066	1261.85	1747.44	1075.57	1762.46	921.252	1358.14	2604.58	2555.23	785.285	1179.39	2814.28	2723.94	3640.02	8258.56	976.255	988.262	699.944	382.68	1412.11	824.757	569.65	1114.42	1691.21	3949.83	4129.61	1502.82	1735.36	2518.69	1404.09	553.0930000000001	1820.41	1198.68	2015.43	4395.44	959.923	1730.44	1274.91	3244.46	3411.22	1191.24	1554.23	962.8380000000001	696.168	901.418	1994.04	2436.82	2331.97	7958.3	2609.35	1290.9	3543.13	3356.58	4743.05	1606.34	4555.41	2052.78	1330.99	2333.25	819.018	2220.86	1105.9	5461.6	1704.85	3772.38	991.306	3757.0	1989.73	1653.58	2578.58	1506.85	3902.41	3547.34	2679.62	1101.92	2075.51	1322.54	5943.09	2933.35	1321.25	5312.6	1620.22	4504.82	3263.23	3579.3	1585.87	2869.26	2331.76	3789.82	4445.17	2221.81	3899.32	1518.86	4637.11	1070.78	870.082	3127.16	2670.47	1363.36	2828.97	2118.24	3310.95	1988.88	1239.87	1666.26	7390.8	2913.48	2888.42	2361.78	302.692	1618.17	3073.28	1427.68	1245.66	1923.43	1110.17	630.615	889.035	1554.71	1889.04	1576.01	3038.74	5086.14	2040.59	2738.51	1651.34	2065.4	1202.99	1488.42	4103.68	2516.85	4136.93	2440.79	2026.99	2270.91	306.027	3823.04	2354.64	3150.25	1850.85	1468.87	1424.71	4172.51	3194.62	2449.18	724.9630000000001	1520.63	1132.55	3058.73	1068.66	3023.13	1462.25	1477.53	3089.2	2262.81	1077.4945	2176.86	1624.915	4053.58	2724.3	400.9425	801.2205	625.57895	1347.2755	921.8705	936.1885	630.8235	626.60945	574.9735
S100A11	S100A11-002	5.60216	7.8039	35.5806	3.62866	8.7904	605.896	7.59808	40.2997	3.02567	4.31492	9.96899	8.078339999999999	6.10597	3.7276599999999998	3.08526	3.1287	12.7661	25.2477	12.9932	9.35294	7.863239999999999	3.04485	1.76799e-08	13.3102	2.92373	8.47992	27.9776	11.2012	7.317710000000001	11.9994	2.55768	0.0	1.93477	0.921184	9.8322	1.52336	5.45054	12.3835	6.06813	16.2768	8.20045	70.6766	6.644239999999999	0.0	8.82361	5.49085	8.26982	5.25126	14.0946	5.0986400000000005	9.38074	9.9161	4.13266	30.6365	9.29698	2.93948	23.6198	4.732069999999999	4.33482	2.00982	3.0019299999999998	5.51382	9.29105	13.5222	5.355980000000001	1.12485	7.99757	10.6846	11.0432	5.7001599999999994	93.9418	4.58932	4.22389	4.48502	4.83701	6.09773	1.6578400000000002	27.8787	1.56718	829.929	661.0060000000001	6.95918	0.0	2.93119	0.0	0.685933	11.0427	8.69667	2.42673	1.2947	1.52747	1.61825	7.8286	4.96049	2.72717	6.68053	6.31968	8.3411	5.53845	9.99035	2.9266799999999997	3.22994	3.5951699999999995	12.3882	5.69634	2.24321	2.78074	6.0458099999999995	35.046	2.90981	2.40869	7.17784	7.82175	4.144430000000001	10.9613	10.6501	9.67872	2.8382	2.99717	195.791	16.9329	6.77349	8.45987	187.66099999999997	1.92032	9.88455	13.9455	4.34959	3.9639300000000004	8.45325	3.40931	0.0	13.0263	10.2982	16.1346	8.86655	11.1714	28.3382	18.9472	39.1044	3.30657	6.61678	3.76491	3.71432	20.0425	393.98400000000004	16.4609	7.58375	3.12265	4.488659999999999	0.0	13.8446	5.39462	17.8975	6.90475	1.9078099999999998	12.4533	11.4434	15.350999999999999	12.7611	3.2208099999999997	3.12343	13.7168	13.0361	1.18222	6.84893	4.97801	10.2927	5.31456	9.23741	1.23567	4.88818	9.91067	6.764735	7.25456	1.8015935	2.832485	3.567155	9.84932	4.888609	2.24074	3.2526	4.921355	1.60472
TCHHL1	TCHHL1-001	0.00466703	0.015411099999999999	1.19248	0.0	0.030117900000000003	0.0	0.209499	0.104104	0.0	0.014737	0.00902535	0.13269	0.0	0.0	0.018893	0.04897	0.00512894	0.00974512	0.0	0.0	0.0	0.506074	0.0	0.122945	0.0	0.205058	0.13716199999999998	0.0994445	0.125109	0.46777399999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00578349	0.547992	0.06918200000000001	0.0	0.0	0.0	0.0	0.0404343	0.0	0.00495592	0.0	0.0	0.0	0.0	0.0756743	0.0	0.0	0.0	0.017091099999999998	0.0	0.0	0.0973832	0.013153899999999998	0.0	0.0157976	0.0195572	0.019324099999999997	0.049320300000000004	0.00628117	0.0324461	0.0564948	2.2428	0.0169567	0.0	0.44055500000000003	0.0	0.0	0.0	0.537674	0.00530903	0.0415343	0.0	0.0	0.0	0.0	0.0	0.0	0.070647	0.0509016	0.0	0.0102206	0.0	0.0	0.00816777	0.0	0.0	0.0	0.0	0.0	0.0	0.00587582	0.0211071	0.0107634	0.07902150000000001	0.0	0.563774	0.0	0.0	0.00506112	0.0415599	0.0	0.0	0.0	0.0227208	0.00513473	0.00458845	0.0	0.0215886	0.0	0.0121647	0.0	0.101123	0.0	0.404146	0.294732	0.0	0.0	0.020959099999999998	0.014900700000000001	0.0040598	0.0	0.0	0.0	0.00374692	0.0161701	0.0	0.00396545	0.00390828	145.352	0.033250699999999994	0.0	0.0	0.0531477	0.025397	0.0661544	0.395633	0.0327528	0.300241	0.00960924	0.00511387	0.12163399999999999	0.0	0.0370685	0.023483	0.013799299999999999	0.0500304	0.0	0.034708800000000005	0.039044499999999996	0.115828	0.0	0.0	0.00459338	0.0	0.00801677	0.0	0.235494	0.6551060000000001	0.0	0.100576	0.068872	0.0	0.012783385	0.00262041	0.003564275	0.003034385	0.0	0.003237085	0.0	0.0142141	0.00158737	0.0	0.0088015	0.0	0.00456231
TCHH	TCHH-001	0.0	0.133599	1.43982	0.007475	8.58431	0.09364860000000001	4.9315100000000005e-05	1.1576600000000001	0.358755	0.46462700000000007	0.041071300000000005	0.164446	0.166624	0.12250499999999999	0.156367	1.58023	0.09882510000000001	0.172163	0.15538	0.056876199999999995	0.5878479999999999	0.138942	0.89656	0.336463	1.6673	0.659149	0.26169499999999996	0.231906	0.0127036	0.0	0.0637	0.163851	0.016343299999999998	0.024462900000000003	0.14921700000000002	0.0	0.028977499999999996	0.0402614	0.0597393	0.6110270000000001	0.299184	0.201684	0.06574760000000002	0.22307600000000002	0.0749972	0.021258199999999998	0.00019511	0.153593	0.0696235	0.29835100000000003	0.0108634	0.0160313	0.057384500000000005	3.3159099999999997	0.046591900000000006	0.06549730000000001	0.08453739999999998	0.07718560000000001	0.10255399999999999	0.00204082	0.751732	1.2724	0.1992	3.4660300000000004	0.432195	5.10729	0.137709	7.18243	2.98306	0.197231	2.4539400000000002	0.16276300000000002	0.0260058	0.848635	0.032652	0.151646	0.0070015	1.50989	0.0405592	0.0	0.0750632	0.169533	0.40931	0.13650199999999998	0.184684	0.07726110000000001	0.13275599999999999	0.769753	0.153117	0.017475599999999997	0.016132	2.0515500000000003e-08	0.172307	0.023899200000000002	0.00433181	0.11704200000000001	0.0	0.0916807	0.165296	2.21525	0.143288	0.0822706	3.6744199999999996	0.0421963	7.002730000000001	0.163644	0.209119	0.0121599	0.402896	0.0	0.0438685	0.0702044	0.771292	0.069474	1.6605	0.30748200000000003	1.9775799999999997e-09	0.848384	0.32771300000000003	0.257981	5.22698	0.0901618	2.34017	0.43047399999999997	0.10438900000000001	0.0	0.012537399999999999	0.0892062	0.228577	0.033998900000000006	0.19245299999999999	0.075184	1.10758	0.277343	0.0375583	0.42867	0.045720800000000006	1.46475	0.618711	0.056306100000000005	0.0552956	0.452288	0.152701	4.064430000000001	0.807733	0.533162	9.72462	0.23324899999999998	0.657709	3.6812199999999997	0.0453622	1.20508	0.50437	4.2559e-05	10.7157	0.24994899999999998	1.0126899999999999	0.276428	0.17688399999999999	0.461898	0.03624430000000001	0.181631	0.0320565	4.49678	0.00478558	5.053669999999999	24.0698	0.0368039	0.8733420000000001	0.021544499999999998	0.0288452	0.04403255	0.435622	0.02554335	0.031896185	0.0200984	0.406997	0.06009375	0.006638516315	0.01711875	0.0276492	0.0794164	0.02733028	0.11177615
TCHH	TCHH-201	0.0697461	0.377004	2.7242799999999997e-08	0.0	4.17895	0.0	0.121885	1.7517099999999999	2.9959500000000004e-10	2.9300599999999997e-08	1.86592e-09	1.417e-09	0.0	9.91957e-11	6.565469999999999e-10	8.07026e-09	9.524479999999999e-09	0.0	3.61952e-09	3.1271500000000003e-09	3.98843e-09	4.10525e-09	0.0	8.06595e-10	4.80224	0.24611100000000002	9.228700000000001e-09	0.181527	0.646884	0.0834607	8.451119999999999e-10	0.0	0.0	2.85834e-10	0.0	0.0860456	3.45301e-11	3.12785e-10	1.13971e-09	6.2039e-09	1.8830799999999997e-08	1.7114900000000003e-08	8.54699e-10	2.65717e-09	2.2740299999999998e-10	0.0	0.14721700000000001	1.92339e-09	2.2199099999999998e-10	1.1620299999999999e-08	1.0063199999999999e-09	8.14448e-10	4.078969999999999e-09	1.81598e-06	1.7696400000000001e-09	3.34379e-10	2.4051e-09	0.0	1.5647799999999997e-10	0.0	2.46877e-07	6.26741e-09	1.88609e-10	1.9940900000000001	3.4702800000000006e-07	1.97332	7.39053e-11	6.19184	0.337214	8.168449999999999e-09	0.8694629999999999	8.84113e-09	9.31969e-10	1.9514e-08	0.0	4.58671e-09	5.01702e-11	0.316241	7.144149999999999e-09	0.0488958	0.0	1.79368e-09	1.19085e-08	8.542629999999999e-09	3.56749e-08	0.0	4.135299999999999e-10	0.45514799999999994	3.6857099999999997e-09	1.5992699999999998e-09	4.802530000000001e-10	0.78838	5.47523e-09	0.0	0.0	2.6070099999999995e-10	0.0	4.381229999999999e-09	3.6677900000000002e-09	1.02211e-07	0.0	5.16757e-11	11.7564	0.17182999999999998	12.9284	4.26062e-09	3.04342e-09	3.0658299999999996e-10	4.60092e-09	0.0	5.90872e-10	5.14668e-09	0.830153	3.45802e-09	3.5537e-08	4.40242e-10	0.38945	1.9561400000000002e-09	6.007769999999999e-10	0.0	0.134999	5.543430000000001e-10	9.64937	0.0	7.865160000000001e-10	0.0931503	0.28677600000000003	6.43029e-11	3.5170699999999997e-09	5.472400000000001e-10	4.74121e-09	1.7032e-09	2.15149e-10	2.22681e-09	0.0	9.26062e-09	2.30975e-11	0.746697	1.99978	2.40698e-10	3.3246700000000003e-09	3.4297099999999996e-10	0.685551	6.17751	0.64071	0.0	15.1663	9.328059999999998e-09	6.385680000000001e-09	5.49849	9.099199999999999e-10	0.94705	6.92886e-11	0.218437	16.4879	0.0	2.08582	0.316945	1.8146099999999998e-09	2.87986e-09	7.982739999999999e-10	0.168032	0.0	3.43704	4.81383e-11	3.8333800000000005	42.3704	0.14941400000000002	2.48962	1.1254399999999999e-10	1.61057e-10	0.0952525001069	1.026651e-08	2.009584e-09	1.6262501e-09	6.0188e-10	0.1127075	0.0	0.0679220000915	5.00489e-10	4.4218995e-10	7.88614e-10	5.791305e-10	9.8868e-11
RPTN	RPTN-001	0.0185112	0.010252299999999999	0.8680200000000001	0.0	2.99212	0.0	0.00462413	0.167755	0.0	23.4014	0.0	0.0	0.0	0.0	0.175271	0.00446809	0.015295900000000001	0.0	0.0039443	0.0	0.0	0.0	0.645146	1.17159	0.025989599999999995	0.10607799999999999	0.0	0.024841099999999998	0.016561199999999998	32.3705	0.00545796	0.0	0.0	0.0	0.0	0.0	0.0	0.0367206	0.0	0.045978899999999996	114.766	0.0180722	0.0	5.5396	0.019174599999999997	0.0	1.2192100000000001	0.00986586	0.0	0.118904	0.0	0.00530337	0.0	2.7620400000000003	0.024059999999999998	0.00862798	0.0	0.011299600000000002	0.0	0.0	0.772614	0.017430200000000003	0.060693899999999995	3.4478800000000005	7.40308	0.06968819999999999	0.211133	0.782181	2.85455	0.291111	15.2919	5.47179	0.00452279	0.9593959999999999	0.0	0.174689	0.0	120.48700000000001	2.50371	0.238429	0.396986	0.441184	0.505459	1.9247299999999998	0.230568	0.0	25.0294	4.685630000000001	0.0	0.0	0.0	10.1952	0.231215	8.28415	0.0	8.9329	0.020619799999999997	0.0143559	0.0210293	0.49498000000000003	0.0	1.0521399999999999	0.0908064	13.2226	6.45097	0.00532322	1.1987	0.0	230.824	0.0	0.0	0.0	55.5267	0.43061499999999997	0.205051	0.111624	0.08582619999999999	0.00916248	0.23547800000000002	0.0	0.67862	0.557525	0.163072	0.570159	0.00492621	0.00376518	0.760209	0.0	0.0202542	0.00558265	0.0100087	0.0	0.717778	0.0	0.0	0.011929799999999999	0.20446	95.09899999999999	1.1255600000000001	0.0123934	0.0	0.0112736	0.0	0.177848	0.0995467	0.211745	0.459117	0.232356	0.015263999999999998	0.0233483	0.0	0.05294	1.40346	6.37921	0.258202	0.0	0.48797399999999996	0.0304789	0.0	3.22206	0.0	0.0640895	0.00402066	0.253859	0.0	2.81432	0.0	1.38163	2.22927	0.958541	0.0	0.0	0.1266507	10.97127	7.424	0.0121434	0.0096455	0.0	0.362537	0.00220798	0.0273447	0.0072961	0.0109929	0.251252
HRNR	HRNR-001	0.014592500000000001	0.0125716	0.293215	0.014170799999999999	0.0286284	0.0937818	0.217871	0.09290330000000001	0.0239432	0.8370639999999999	0.00633648	0.12231099999999999	0.025827099999999995	0.036319199999999996	0.0800711	0.0952756	0.030477999999999998	0.016974700000000002	0.00140638	0.00452178	0.296165	0.0764307	0.12794	2.2061599999999997	0.05486130000000001	0.0399939	0.104183	0.145523	0.14918800000000002	0.257441	0.025059400000000003	0.026124	0.020299400000000002	0.021694400000000003	0.0274776	0.199931	0.00932018	0.044842900000000005	0.150447	0.291154	0.440114	0.0246399	0.08546060000000001	0.177195	0.07966319999999999	0.0288921	0.24879400000000002	0.035131800000000005	0.0347176	0.226471	0.302116	0.0227299	0.10928199999999999	0.287823	0.039998	0.0417693	0.0197225	0.057611199999999994	0.0	0.00717251	0.115151	0.18742	0.0927659	0.12926700000000002	0.704384	0.231607	0.0803902	0.110077	0.158342	0.050561800000000004	0.507869	0.101617	0.0109828	0.12833699999999998	0.0051754	0.0977435	0.0304765	0.6963600000000001	0.0722367	0.08817799999999999	0.0182777	0.568557	0.189083	0.23812600000000003	0.03722380000000001	0.0374359	0.21678899999999998	0.726132	0.133324	0.0463541	0.0076584999999999995	0.263006	0.246383	0.10113	0.08811619999999999	0.878396	0.0	0.044021	0.0617529	0.196695	0.9655290000000001	0.0724924	0.374347	0.0881108	0.5629	0.07663980000000001	0.0205352	0.0309517	0.637556	0.0022893	0.018245599999999997	0.032371699999999996	0.86813	0.080165	0.478785	0.72097	0.0634304	0.139768	0.0382158	0.00532074	0.103229	0.11384200000000001	0.114797	2.1621099999999998	0.049600099999999994	0.0257694	0.24498000000000003	0.028719599999999998	0.014390799999999999	0.0862839	0.10630099999999999	0.05222919999999999	0.0349286	0.09602260000000001	0.0	0.0665463	0.0414273	1.44184	2.59265	0.135126	0.0338989	0.13139	0.0728423	0.0304277	0.294537	0.144534	0.12481800000000001	0.022716800000000002	0.06940199999999999	0.122378	0.0027927	0.0936813	0.17394400000000002	0.08560319999999999	0.227636	0.00965516	0.17927300000000002	0.103567	0.479185	0.5977979999999999	0.020028099999999997	0.101265	0.00702245	0.172025	0.0184835	0.22631700000000002	0.0544611	0.124194	0.0434545	0.221925	0.01457165	0.015627625	0.3789715	0.714486	0.284954985	0.04868775	0.209909	0.0688512	0.16197785	0.025489105	0.02722225	0.0921508	0.0485776	0.0474959
FLG	FLG-001	0.00981469	0.0553885	1.87179	0.0777618	1.8874099999999998	0.137673	1.1265	2.30342	0.021002200000000002	0.9839459999999999	0.00958553	0.146305	0.00632781	0.07639069999999999	0.523947	0.0594419	0.030557599999999997	0.00268332	0.005356199999999999	0.013650200000000001	0.281373	0.12475599999999999	0.726241	3.13958	0.313535	0.37199499999999996	0.08239930000000001	1.4658200000000001	0.697368	29.8415	0.186013	0.239904	0.0345996	0.027068900000000003	0.0772053	0.145701	0.0233345	0.391927	0.0788767	2.49954	4.16907	0.028167200000000003	0.12931800000000002	6.00171	0.0877665	0.0893873	0.0807555	0.182233	0.0556655	7.114380000000001	0.0784715	0.00287972	0.250724	3.7427599999999996	0.077918	0.07133610000000001	0.0319226	0.14289000000000002	0.049612699999999996	0.015293799999999998	0.376853	0.284542	0.579821	2.47395	3.7294699999999996	0.393229	0.0603845	2.6581099999999998	1.8295	0.125033	113.12799999999999	0.27411399999999997	0.0106627	1.09317	0.028508299999999997	2.39155	0.0180365	1.5825799999999999	0.0952313	0.029553199999999998	0.137512	4.775469999999999	1.27565	0.9642870000000001	0.18839	0.0579018	2.94393	1.04234	0.218302	0.0238359	0.00144338	0.5728479999999999	4.92204	1.11335	0.0246263	92.4762	0.00576205	0.0663802	0.0855072	1.58155	0.0915461	5.18878	2.13817	0.0827789	19.8874	0.637109	2.48975	0.0556393	70.7327	0.0164569	0.00847143	0.0	0.718616	0.0247334	3.14034	1.40146	1.09505	0.29133200000000004	2.26632	0.511319	0.034313199999999995	6.3913400000000005	6.11066	1.5491	0.0963534	0.00815759	1.0795700000000001	0.035791199999999995	0.0368191	0.010912700000000001	0.016086700000000002	0.060789800000000005	0.242351	0.076422	0.0469267	0.0843722	3.48503	26.8611	6.76072	0.640486	0.04814469999999999	0.678266	0.26361100000000004	0.9461229999999999	2.87131	2.937	0.681299	1.11992	1.12591	0.244662	0.011679700000000001	2.34412	9.62135	1.40068	0.151009	0.519285	0.7767229999999999	2.7040599999999997	0.116355	2.1398099999999998	0.0783803	0.534982	0.00963354	0.839685	0.00507849	5.5484599999999995	0.172458	1.58197	3.99608	0.182925	0.05285615	0.012395585	0.619125	33.606045	24.49277078	0.02422215	0.03977341	0.04664685	1.788535	0.0723383	0.07347315	0.2362095	0.0611768	0.217535
